YEAR;POSITION;COUNT;AGE;GP;W;L;W_PCT;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
2022;SF;97;25,84536082;46,27835052;22,36082474;23,91752577;0,475226804;7,387971519;16,87017119;1,010901379;2,479624299;7,341917891;0,745414331;2,952279958;3,846689895;1,723666111;1,825178003;6,435388577;8,265414331;3,999394031;2,346311165;1,514921982;0,797454931;0,908953189;3,890319649;3,383729738;20,21996667;-2,428722921;5,11437661;0,121193759;259,2334495;0,302548099;0,448853204;0,453507044;0,42369338;16,52355704;13,67065596;12,74473565;47,57582185;0,141021057
2022;SG;130;25,32307692;50,81538462;25,5;25,31538462;0,492715385;7,762700895;18,08132887;0,944312372;2,97529932;8,520332219;0,722959767;2,994283249;3,793334052;1,710175817;1,330600798;5,36037105;6,689246036;4,737353036;2,514507604;1,473843167;0,610937331;0,956099666;3,55344623;3,365332758;21,48462949;-1,337504045;3,952108726;0,414194801;245,8660339;0,246497681;0,364198037;0,434231474;0,281894078;16,33825909;13,59249272;12,55355409;47,65311185;0,144122533
2017;C;88;26,65909091;59,51136364;29,77272727;29,73863636;0,488;8,065184495;15,59958096;1,282663252;0,796182051;2,285182167;0,383173088;3,665231056;5,282737749;1,693968106;4,006052846;9,378186474;13,38703294;3,086951461;2,740542428;1,363287161;1,944360377;1,055988826;5,210103597;4,791060412;20,56384589;-0,840879991;21,87405424;0,139681062;261,4661855;0,459383075;0,678235363;0,441252474;0,966425329;16,42928646;12,91491095;13,3283669;42,98824351;0,147000349
2017;PF;105;27,14423077;52,44230769;25,76923077;26,67307692;0,464990385;7,434995912;16,02044154;1,165609158;1,476696648;4,312346688;0,703810303;3,02207686;4,071954211;1,834611611;2,816026165;7,974652494;10,77596075;3,088307441;2,327882257;1,312346688;1,152902698;0,91741619;4,3736713;3,600981194;19,3417825;-1,052330335;11,30825838;0,245298446;271,4987735;0,415388389;0,612878168;0,431504497;0,651488144;16,03515944;12,74080131;13,19705642;43,00572363;0,146418643
2017;PG;88;26,59090909;56,06818182;28,26136364;27,80681818;0,498522727;7,859980672;18,24546333;0,938430151;2,180178245;6,148824224;0,737343498;4,210888006;5,154085687;1,751332546;0,99731558;4,842263503;5,839579083;8,091914528;3,442929239;1,783313648;0,463867712;1,077203909;3,677440137;4,386126919;22,10587351;-0,252550199;10,82357994;1,958552561;241,682809;0,220543327;0,322929239;0,528396865;0,21956405;15,96220337;12,60689359;13,0707613;43,01084506;0,143438205
2017;SF;78;27,48717949;59,43589744;30,48717949;28,94871795;0,497358974;7,164096979;16,30354789;0,912789591;2,09365507;6,011348656;0,691043732;3,438986645;4,407405285;1,559401616;1,504900556;6,206683097;7,719837221;3,656330601;2,305496647;1,667220726;0,762079441;0,789591334;3,617813951;3,606809194;19,86908924;0,214592767;6,520318679;0,495214077;226,9263484;0,266177566;0,389513383;0,445720181;0,336442941;15,79182668;12,52891615;12,90307789;42,9515676;0,152498424
2017;SG;100;26,55;57,06;28,11;28,95;0,48226;7,364487723;17,15547687;0,931016167;2,585286307;7,160974701;0,76590225;2,992312351;3,737035829;1,730151423;1,098075758;4,904440199;5,989097517;4,045659973;2,417555794;1,484974142;0,507664353;0,867725854;3,535759214;3,215953035;20,29539207;-1,178586405;2,907328892;0,178912547;239,2440945;0,229544798;0,335684667;0,435495504;0,24341052;16,21618599;12,86157573;13,19256395;44,00354098;0,136555002
2012;C;97;27,56701031;41,4742268;20,81443299;20,65979381;0,493298969;6,975040171;14,44370648;1,181823246;0,38564542;1,180074987;0,264244242;3,24970541;4,797429031;1,602253883;3,640492769;8,203963578;11,83417247;2,732940546;2,676379218;1,313765399;1,956507766;1,077236208;4,918264596;4,272951259;17,55972148;-0,635029459;13,49758972;0,051419389;254,3382967;0,426292448;0,656779861;0,413129084;0,982933048;16,31280129;12,88312801;13,41531869;40,35907874;0,148473487
2012;PF;92;26,86956522;49,2173913;25,01086957;24,20652174;0,50926087;7,542117961;16,30634978;1,026624917;0,768749038;2,276679842;0,414434577;3,385452492;4,674092706;1,572486012;3,481546122;7,598788563;11,07047893;2,717724963;2,498434372;1,397053539;1,29849597;1,160515374;4,573071198;4,129562137;19,24829321;-0,544530568;13,72414147;0,073918177;230,7084852;0,357246548;0,55377034;0,400735075;0,576438581;16,31127766;13,06134182;13,03177455;40,46034598;0,14714645
2012;PG;89;26,42696629;41,3258427;20,69662921;20,62921348;0,499382022;6,844473427;16,39908706;0,93506358;1,625040756;4,833387675;0,694750571;3,27094881;4,118682752;1,749018585;1,030322791;4,215194001;5,227257907;7,75480926;3,703945223;1,844147375;0,412129116;0,9677209;3,612650799;3,803064884;18,5797196;-0,795565699;5,973263776;0,260841213;234,8536029;0,206951418;0,321669384;0,548549071;0,199282687;16,41473753;13,2898598;13,15422237;40,84512553;0,151470492
