PLAYER_NAME;POSITION;YEAR;AGE;GP;W;L;W_PCT;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
Quentin Grimes;PF;2022;22;46;21;25;0,457;5,894736842;14,31578947;1,134035088;4,49122807;11,50877193;1,069473684;0,842105263;1,122807018;1,92;1,403508772;4,210526316;5,614035088;2,807017544;1,684210526;1,964912281;0,561403509;0;4,49122807;1,403508772;16,84210526;-3,368421053;0;0;294,7368421;0,238596491;0,348070175;0,712982456;0,395789474;14,59649123;11,78947368;9,263157895;38,73684211;0,213333333
Al Horford;C;2022;35;69;46;23;0,667;6,432989691;13,5257732;0,770309278;2,144329897;6,268041237;0,554226804;1,979381443;2,309278351;1,388865979;2,639175258;10,06185567;12,70103093;5,608247423;1,484536082;1,154639175;2,144329897;0,329896907;3,134020619;1,979381443;16,82474227;9,237113402;24,74226804;0;170,556701;0,331546392;0,470103093;0,280412371;0,648247423;13,36082474;11,21649485;10,55670103;39,25773196;0,237525773
Corey Kispert;SG;2022;23;77;31;46;0,403;6,153846154;13,74358974;0,933333333;3,076923077;8,615384615;0,717948718;1,435897436;1,641025641;1,786666667;1,435897436;4,102564103;5,538461538;2,256410256;1,230769231;1,025641026;0,615384615;0,615384615;2,461538462;1,230769231;16,82051282;1,025641026;0;0;231,5897436;0,172307692;0,254358974;0,303589744;0,248205128;13,94871795;11,8974359;10,25641026;48,20512821;0,102564103
Matt Thomas;SG;2022;27;40;23;17;0,575;5,843478261;14,19130435;1,711304348;3,756521739;9,6;1,606956522;1,669565217;2,086956522;3,339130435;0,417391304;5,008695652;5,426086957;2,086956522;0,834782609;0,834782609;0,417391304;0,417391304;2,086956522;1,669565217;16,69565217;3,339130435;0;0;452,8695652;0,400695652;0,563478261;0,709565217;0,254608696;13,77391304;10,43478261;12,93913043;53,42608696;0,166956522
Frank Ntilikina;PG;2022;23;58;34;24;0,586;6,101694915;15,45762712;1,623050847;2,847457627;7,728813559;1,391186441;1,627118644;1,627118644;3,905084746;0,813559322;4,881355932;5,694915254;4,881355932;2,033898305;2,033898305;0,406779661;0,813559322;4,474576271;2,440677966;16,6779661;4,474576271;0;0;416,1355932;0,382372881;0,561355932;0,94779661;0,49220339;14,23728814;13,42372881;13,01694915;45,15254237;0,260338983
Vlatko Cancar;C;2022;25;15;7;8;0,467;6,101694915;10,98305085;2,282033898;2,033898305;3,254237288;2,371525424;2,440677966;3,661016949;2,61559322;2,033898305;6,101694915;8,542372881;4,474576271;2,440677966;0,406779661;0,813559322;0,813559322;4,881355932;4,474576271;16,6779661;1,220338983;0;0;423,4576271;0,541016949;0,760677966;0,231864407;0,870508475;13,83050847;10,16949153;10,98305085;44,33898305;0,24
Deni Avdija;SF;2022;21;82;35;47;0,427;5,950413223;14,08264463;0,856859504;1,983471074;6,347107438;0,628760331;2,578512397;3,371900826;1,501487603;1,190082645;8,925619835;10,31404959;3,966942149;2,181818182;1,388429752;0,991735537;0,991735537;4,561983471;2,776859504;16,66115702;-1,58677686;5,950413223;0;218,3801653;0,360991736;0,521652893;0,412561983;0,444297521;15,27272727;12,09917355;8,52892562;44,62809917;0,144793388
R.J. Hampton;SG;2022;21;64;15;49;0,234;5,917808219;15,56164384;0,839452055;2,191780822;6,356164384;0,767123288;2,630136986;3,945205479;1,404931507;0,876712329;5,917808219;6,575342466;5,479452055;3,068493151;1,534246575;0,438356164;1,315068493;3,506849315;3,506849315;16,65753425;-14,24657534;0;0;248,7671233;0,263013699;0,374794521;0,473424658;0,265205479;17,75342466;12,71232877;13,5890411;46,02739726;0,096438356
Devin Cannady;PG;2022;25;5;2;3;0,4;4,982698962;14,61591696;0,566366782;4,982698962;12,29065744;0,67266436;1,660899654;2,325259516;1,185882353;0,332179931;1,660899654;1,993079585;3,321799308;1,660899654;1,660899654;0,996539792;0,996539792;2,989619377;0,996539792;16,60899654;-3,653979239;0;0;182,0346021;0,053148789;0,073079585;0,461730104;0,498269896;14,61591696;13,61937716;11,29411765;44,51211073;0,149480969
Aaron Nesmith;SF;2022;22;52;32;20;0,615;6,109090909;15,27272727;1,728;2,618181818;9,6;1,178181818;1,745454545;2,181818182;3,525818182;1,309090909;6,109090909;7,418181818;1,745454545;2,618181818;1,745454545;0,436363636;0;5,672727273;2,181818182;16,58181818;1,745454545;0;0;455,1272727;0,510545455;0,737454545;1,117090909;0,436363636;18,32727273;13,52727273;12,21818182;42,76363636;0,235636364
Brandon Goodwin;PG;2022;26;36;19;17;0,528;6,215827338;14,84892086;1,436546763;1,726618705;5,179856115;1,191366906;2,417266187;3,798561151;2,182446043;1,381294964;5,179856115;6,561151079;8,633093525;3,45323741;2,417266187;0;1,381294964;3,798561151;3,45323741;16,57553957;-5,179856115;3,45323741;0;388,8345324;0,379856115;0,552517986;1,391654676;0,082877698;17,61151079;13,12230216;10,70503597;45,23741007;0,10705036
Chuma Okeke;PF;2022;23;70;21;49;0,3;5,952;15,744;0,72192;3,264;10,176;0,61056;1,536;1,728;1,62432;1,344;8,256;9,6;3,264;1,536;2,688;1,152;0,384;2,688;1,92;16,512;-8,64;5,76;0;209,472;0,3168;0,45888;0,63936;0,49152;16,32;12,096;11,328;46,08;0,15936
Saben Lee;PG;2022;22;37;8;29;0,216;5,595092025;14,13496933;1,148466258;1,17791411;4,711656442;0,686134969;4,417177914;5,595092025;2,323435583;1,472392638;5,595092025;7,067484663;8,539877301;2,944785276;2,944785276;0,883435583;1,766871166;3,533742331;5,300613497;16,49079755;-6,478527607;2,944785276;0;326,2822086;0,332760736;0,515337423;1,080736196;0,553619632;17,66871166;12,66257669;11,19018405;55,95092025;0,135460123
