PLAYER_NAME;POSITION;YEAR;AGE;GP;W;L;W_PCT;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
Brendan Haywood;C;2007;27;77;39;38;0,506;5,522123894;9,769911504;1,185132743;0;0;0;3,185840708;5,734513274;1,163893805;5,309734513;7,85840708;13,16814159;1,274336283;2,548672566;0,849557522;2,336283186;0,849557522;5,734513274;5,097345133;14,01769912;1,699115044;14,86725664;0;224,0707965;0,354690265;0,554336283;0,242123894;1,174513274;15,50442478;14,44247788;13,59292035;39,2920354;0,121061947
Brendan Haywood;C;2002;22;62;32;30;0,516;4,235294118;8,470588235;1,16;0;0;0;3,764705882;6,117647059;1,425882353;5,411764706;6,823529412;12,23529412;1,176470588;1,882352941;0,705882353;3,529411765;1,176470588;5,882352941;0;12;-2,117647059;4,705882353;0;232,7058824;0,322352941;0,527058824;0,289411765;1,550588235;14,58823529;12,47058824;10,82352941;30,82352941;0,188235294
Brent Barry;SG;2007;35;75;53;22;0,707;5,97235023;12,60829493;1,050691244;3,760368664;8,405529954;0,986543779;3,096774194;3,539170507;1,946543779;0,442396313;4,202764977;4,64516129;3,98156682;1,769585253;1,548387097;0,442396313;0,442396313;2,65437788;2,211981567;18,80184332;6,6359447;0;0;224,2949309;0,201290323;0,303041475;0,533087558;0,148202765;15,70506912;12,60829493;11,50230415;41,14285714;0,185806452
Brent Barry;SG;2002;30;81;44;37;0,543;6,4;12,544;0,65024;2,56;6,144;0,54272;3,072;3,712;1,08288;0,896;6,016;6,912;6,784;2,56;2,304;0,64;0,512;2,816;0;18,432;3,2;10,24;0;133,76;0,1664;0,27392;0,352;0,16256;14,976;15,232;13,056;39,68;0,10496
Brent Barry;SG;1997;25;59;24;35;0,407;6,709677419;16,51612903;1,055483871;2,322580645;7,483870968;0,836129032;3,35483871;4,129032258;2,108387097;1,290322581;3,612903226;4,903225806;6,709677419;3,35483871;2,322580645;0,774193548;0,258064516;3,870967742;0;19,35483871;4,387096774;2,580645161;0;269,9354839;0,196129032;0,332903226;0,632258065;0,283870968;16,77419355;13,16129032;11,35483871;42,83870968;0,134193548
Brent Price;PG;2002;33;20;15;5;0,75;5,454545455;15,27272727;3,632727273;2,181818182;8,727272727;2,912727273;5,454545455;7,636363636;7,549090909;2,181818182;2,181818182;4,363636364;5,454545455;5,454545455;2,181818182;1,090909091;0;7,636363636;0;17,45454545;-20,72727273;0;0;1112,727273;0,381818182;0,709090909;1,56;1,56;20,72727273;24;8,727272727;45,81818182;0,163636364
Brent Price;PG;1997;28;25;14;11;0,56;5,538461538;12,92307692;1,289230769;2,153846154;6,461538462;0,987692308;2,461538462;2,461538462;3,076923077;1,230769231;2,461538462;3,692307692;8;4;2,153846154;0;0,615384615;4,307692308;0;15,38461538;4;0;0;310,1538462;0,144615385;0,224615385;0,806153846;0;17,53846154;16;13,84615385;46,15384615;0,193846154
Brett Szabo;PF;1997;29;70;11;59;0,157;4,042105263;8,589473684;2,253473684;0;0;0;3,031578947;4,547368421;3,728842105;4,042105263;8,084210526;12,12631579;1,010526316;3,031578947;1,010526316;2,526315789;1,010526316;8,589473684;0;11,11578947;-12,12631579;5,052631579;0;544,1684211;0,848842105;1,409684211;0,656842105;2,693052632;22,23157895;14,14736842;17,68421053;51,03157895;0,090947368
Brevin Knight;PG;2007;31;45;17;28;0,378;5,766784452;13,7385159;0,710671378;0;0,67844523;0,094982332;3,901060071;4,749116608;1,365371025;0,508833922;3,731448763;4,409893993;11,19434629;3,561837456;2,544169611;0,169611307;0,67844523;4,240282686;3,901060071;15,43462898;-3,392226148;3,392226148;0;175,5477032;0,144169611;0,23745583;0,505441696;0,045795053;15,9434629;13,06007067;12,21201413;39,51943463;0,15434629
Brevin Knight;PG;2002;26;53;15;38;0,283;5,97235023;13,93548387;0,933456221;0;0,442396313;0,552995392;3,539170507;4,866359447;1,674470046;0,442396313;3,98156682;4,64516129;12,60829493;4,64516129;3,31797235;0,221198157;1,105990783;5,529953917;0;15,48387097;-5,30875576;15,48387097;0;222,9677419;0,192442396;0,322949309;0,809585253;0,121658986;17,03225806;13,71428571;12,60829493;38,26728111;0,159262673
Brian Cardinal;SF;2012;35;44;24;20;0,545;2,285714286;9,904761905;1,942857143;1,523809524;8,380952381;1,554285714;0,761904762;0,761904762;6,346666667;0,761904762;5,333333333;6,095238095;3,047619048;1,523809524;1,523809524;0;0;6,857142857;2,285714286;7,619047619;-9,904761905;0;0;748,1904762;0,807619048;1,28;1,127619048;0,586666667;16;12,95238095;16,76190476;37,33333333;0,213333333
Brian Cardinal;PF;2007;30;28;6;22;0,214;6,428571429;12,85714286;2,117142857;2,571428571;6,857142857;1,752857143;3,857142857;4,285714286;3,968571429;2,142857143;6,857142857;9;4,714285714;3,428571429;3,428571429;0;0,428571429;6,428571429;5,142857143;19,28571429;-5,142857143;0;0;455,5714286;0,702857143;1,14;1,684285714;0,252857143;18,85714286;12,85714286;11,14285714;42;0,111428571
Brian Cardinal;PF;2002;25;8;3;5;0,375;7,245283019;14,49056604;4,184150943;3,622641509;8,150943396;3,885283019;2,716981132;2,716981132;9,056603774;2,716981132;4,528301887;7,245283019;2,716981132;0;0,905660377;0;0;5,433962264;0;19,01886792;17,20754717;0;0;883,0188679;0,769811321;1,449056604;3,015849057;0;13,58490566;13,58490566;8,150943396;29,88679245;0,208301887
Brian Cook;PF;2012;31;32;17;15;0,531;5,581395349;17,30232558;1,76372093;1,674418605;8,930232558;1,11627907;1,674418605;1,674418605;5,023255814;1,674418605;9,488372093;11,1627907;1,674418605;1,674418605;1,11627907;1,11627907;0,558139535;8,372093023;2,23255814;13,95348837;-1,674418605;0;0;538,6046512;1,03255814;1,702325581;0,742325581;1,266976744;15,62790698;15,62790698;12,27906977;37,95348837;0,245581395
Brian Cook;PF;2007;26;65;31;34;0,477;8,560509554;19,2611465;1,384968153;2,140127389;5,503184713;1,222929936;1,52866242;2,140127389;2,21044586;2,751592357;7,337579618;10,08917197;3,057324841;2,445859873;1,222929936;1,222929936;0,917197452;6,420382166;1,834394904;21,0955414;3,668789809;9,171974522;0;319,7961783;0,476942675;0,742929936;0,48611465;0,672611465;17,73248408;12,53503185;11,00636943;41,57961783;0,134522293
Brian Evans;SF;1997;23;14;8;6;0,571;7,024390244;18,73170732;4,261463415;3,512195122;7,024390244;5,853658537;0;0;0;1,170731707;5,853658537;7,024390244;5,853658537;1,170731707;1,170731707;1,170731707;0;4,682926829;0;16,3902439;-10,53658537;0;0;1197,658537;1,322926829;2,271219512;0,971707317;3,348292683;22,24390244;17,56097561;30,43902439;48;0,19902439
Brian Grant;PF;2002;30;72;35;37;0,486;6,134185304;13,03514377;0,719233227;0;0;0;2,146964856;2,607028754;1,301980831;3,52715655;8,741214058;12,26837061;2,913738019;2,607028754;1,073482428;0,61341853;1,226837061;5,060702875;0;14,26198083;-1,533546326;26,07028754;0;151,8210863;0,289840256;0,437060703;0,237699681;0,188626198;16,56230032;11,80830671;12,11501597;33,58466454;0,188626198
Brian Grant;PF;1997;25;24;9;15;0,375;7,181102362;16,2519685;0,831496063;0;0;0;5,480314961;7,181102362;1,47023622;3,779527559;7,37007874;11,1496063;2,267716535;3,401574803;1,511811024;1,88976378;1,511811024;5,858267717;0;19,84251969;-7,559055118;7,559055118;0;202,015748;0,304251969;0,517795276;0,347716535;0,727559055;23,43307087;13,03937008;12,28346457;42,14173228;0,10015748
Brian Roberts;PG;2017;31;41;16;25;0,39;5,176470588;14,11764706;1,774117647;1,882352941;5,176470588;1,816470588;3,764705882;4,705882353;3,981176471;0,470588235;3,764705882;4,705882353;6,117647059;2,823529412;0,941176471;0;0,941176471;1,882352941;3,764705882;16,47058824;-6,588235294;0;0;493,1764706;0,395294118;0,545882353;0,72;0,178823529;16;9,882352941;12,23529412;39,52941176;0,169411765
Brian Scalabrine;PF;2012;34;28;22;6;0,786;5,454545455;12;5,094545455;0;3,272727273;1,56;1,090909091;2,181818182;5,454545455;3,272727273;5,454545455;8,727272727;5,454545455;3,272727273;2,181818182;2,181818182;1,090909091;3,272727273;2,181818182;12;5,454545455;0;0;1090,909091;1,221818182;1,865454545;3,032727273;2,52;14,18181818;14,18181818;9,818181818;43,63636364;0,174545455
Brian Scalabrine;PF;2007;29;54;19;35;0,352;3,536842105;8,842105263;1,018105263;2,021052632;5,052631579;1,010526316;0,757894737;1,010526316;1,978105263;1,010526316;3,789473684;4,8;2,778947368;2,021052632;1,010526316;0,757894737;0,252631579;6,063157895;1,515789474;10,10526316;-3,536842105;0;0;262,7368421;0,212210526;0,328421053;0,378947368;0,540631579;16,92631579;11,87368421;10,10526316;40,67368421;0,146526316
Brian Scalabrine;PF;2002;24;28;19;9;0,679;3,692307692;11,07692308;1,583076923;0,461538462;1,846153846;1,384615385;1,846153846;2,307692308;3,383076923;1,846153846;6,461538462;8,307692308;3,692307692;4,153846154;1,384615385;0,461538462;1,384615385;6,461538462;0;9,692307692;2,769230769;0;0;461,5384615;0,678461538;1,167692308;0,650769231;0,512307692;15,23076923;11,53846154;10,61538462;40,15384615;0,170769231
Brian Shaw;PG;2002;36;58;40;18;0,69;4,888888889;13,33333333;1,568888889;2,222222222;6,666666667;1,466666667;1,333333333;1,777777778;3,075555556;1,333333333;7,111111111;8,444444444;6,666666667;2,666666667;1,777777778;0,444444444;0,444444444;3,111111111;0;12,88888889;7,555555556;0;0;433,3333333;0,635555556;0,973333333;1,146666667;0,24;14,22222222;12,44444444;10,22222222;35,11111111;0,213333333
Brian Shaw;PG;1997;31;77;41;36;0,532;4,938271605;13,2345679;0,722962963;1,580246914;4,938271605;0,641975309;2,765432099;3,555555556;1,566419753;1,185185185;3,75308642;4,938271605;8,098765432;4,345679012;1,777777778;0,592592593;0,790123457;5,135802469;0;14,22222222;-8,888888889;3,950617284;0;211,9506173;0,165925926;0,278518519;0,476049383;0,270617284;19,55555556;14,61728395;16,19753086;42,86419753;0,090864198
Brian Skinner;C;2012;36;1;0;1;0;0;10,90909091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,90909091;10,90909091;0;-76,36363636;0;0;1575,272727;0;0;0;0;32,72727273;0;0;21,81818182;-0,523636364
