PLAYER_NAME;POSITION;YEAR;AGE;GP;W;L;W_PCT;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;PLUS_MINUS;DD2;TD3;DEF_RATING;DREB_PCT;PCT_DREB;PCT_STL;PCT_BLK;OPP_PTS_OFF_TOV;OPP_PTS_2ND_CHANCE;OPP_PTS_FB;OPP_PTS_PAINT;DEF_WS
Wenyen Gabriel;PF;2022;25;26;8;18;0.308;13.8;2.1;4.2;0.491;0.3;1.1;0.286;1;1.6;0.595;1.5;2.2;3.7;0.5;0.6;0.2;0.4;0.6;2.6;1.3;5.4;1.7;1;0;111.4;0.151;0.231;0.111;0.393;4.4;3.8;3.3;14.4;0.036
Wesley Matthews;SG;2022;35;49;33;16;0.673;20.5;1.8;4.5;0.395;1.1;3.2;0.338;0.4;0.6;0.786;0.6;1.3;1.9;0.7;0.4;0.5;0.2;0.2;1.8;1.1;5.1;2.8;0;0;107.7;0.056;0.079;0.155;0.096;5.9;5.6;4.4;18.4;0.077
Will Barton;SF;2022;31;71;41;30;0.577;32.1;5.5;12.6;0.438;2.2;6.1;0.365;1.4;1.8;0.803;0.6;4.2;4.8;3.9;1.8;0.8;0.4;0.7;1.6;1.8;14.7;1.4;1;0;110.4;0.128;0.179;0.17;0.17;11.3;7.5;8.8;34.7;0.093
Willie Cauley-Stein;C;2022;28;20;12;8;0.6;9.1;0.8;1.8;0.457;0.1;0.1;0.5;0.1;0.1;0.5;0.7;1.4;2;0.5;0.4;0.3;0.2;0.3;1;0.2;1.7;1.2;0;0;98.2;0.144;0.2;0.167;0.3;2.3;2.7;2.2;9.5;0.063
Willy Hernangomez;C;2022;27;50;22;28;0.44;16.8;3.4;6.5;0.52;0.1;0.2;0.333;2.2;2.8;0.773;2.9;3.9;6.8;1.3;1;0.4;0.4;0.5;1.9;2.1;9.1;-0.9;9;0;114.2;0.24;0.344;0.129;0.322;6.1;4.4;4.6;17.5;0.031
Xavier Moon;C;2022;27;10;7;3;0.7;13.7;2.5;5.1;0.49;0.5;1.4;0.357;0.3;0.5;0.6;0.2;1.2;1.4;2.4;0.6;0.7;0.3;0.3;0.9;0.5;5.8;0.2;0;0;111.5;0.072;0.118;0.318;0.214;5.3;6.6;2.9;16;0.037
Xavier Sneed;C;2022;24;9;7;2;0.778;4.3;0.2;1.1;0.2;0.1;0.9;0.125;0;0;0;0.2;0.4;0.7;0.1;0;0;0;0;0.2;0;0.6;-0.7;0;0;97.6;0.111;0.148;0;0;1.2;0.7;0.6;4.9;0.03
Xavier Tillman;C;2022;23;53;35;18;0.66;13.2;1.8;4.1;0.454;0.2;0.9;0.204;0.9;1.3;0.648;1.2;1.8;3;1.2;0.6;0.9;0.3;0.3;1.2;1;4.8;-0.5;0;0;106.4;0.138;0.205;0.271;0.181;4;3.1;3.8;12.3;0.054
Yuta Watanabe;SF;2022;27;38;21;17;0.553;11.7;1.5;3.6;0.406;0.7;2.1;0.342;0.6;1.1;0.6;0.5;1.9;2.4;0.6;0.5;0.3;0.4;0.2;1;0.9;4.3;-1.4;2;0;109.6;0.158;0.251;0.136;0.296;3.9;4.5;2.9;11.3;0.039
Yves Pons;SF;2022;23;12;9;3;0.75;5.9;0.4;1.3;0.313;0.3;0.8;0.333;0;0.2;0;0.4;0.6;1;0.1;0.1;0.1;0.3;0.1;0.5;0.3;1.1;-2.5;0;0;106.5;0.082;0.14;0.091;0.444;2.5;2.5;1.8;6.5;0.024
Zach Collins;SF;2022;24;28;14;14;0.5;17.9;2.7;5.5;0.49;0.5;1.5;0.341;1.9;2.3;0.8;1.6;3.8;5.5;2.2;1.6;0.5;0.8;0.6;2.4;2;7.8;1.4;1;0;107.8;0.197;0.284;0.155;0.489;6.7;5.4;5.1;18.6;0.068
Zach LaVine;SG;2022;27;67;37;30;0.552;34.7;8.4;17.7;0.476;2.8;7.1;0.389;4.8;5.6;0.853;0.3;4.3;4.6;4.5;2.6;0.6;0.3;0.9;1.8;4;24.4;-0.4;0;0;113.4;0.121;0.174;0.119;0.122;11.2;9.4;8.6;34.7;0.07
Zavier Simpson;SG;2022;25;4;1;3;0.25;43.5;4.8;13;0.365;0.3;2;0.125;1.3;1.3;1;0.5;4.8;5.3;7.5;2.5;1.3;1;1.8;3.8;2;11;-23.8;0;0;125.1;0.114;0.176;0.192;0.25;14.5;16;15.8;48.5;-0.06
Zeke Nnaji;PF;2022;21;41;24;17;0.585;17;2.3;4.5;0.516;0.9;2;0.463;1;1.6;0.631;1.4;2.2;3.6;0.4;0.6;0.4;0.3;0.5;1.9;1.3;6.6;-1.1;0;0;110.4;0.141;0.198;0.134;0.255;5.9;3.8;4.3;16.7;0.05
Ziaire Williams;PF;2022;20;62;41;21;0.661;21.7;3.1;6.8;0.45;1.2;3.9;0.314;0.7;0.9;0.782;0.4;1.7;2.1;1;0.7;0.6;0.2;0.3;1.8;0.8;8.1;2;0;0;108.8;0.071;0.101;0.144;0.064;6.7;6;6.3;23.6;0.075
